Period,Spot,Option Price,Option delta,Cumulative Hedging Error
0,100,4.39167,0.428711,0.0
1,99.7978,4.272,0.422544,0.029141
2,100.022,4.33334,0.427434,0.0585641
3,97.2004,3.19994,0.353207,-0.0177433
4,97.8995,3.42128,0.369985,0.00472888
5,97.6007,3.28028,0.361013,0.031894
6,97.8627,3.34374,0.366597,0.0598443
7,96.6524,2.88852,0.333891,0.0681342
8,97.1098,3.01265,0.344368,0.0937875
9,98.685,3.5543,0.384713,0.0915582
10,98.7201,3.53424,0.384463,0.121662
11,100.5,4.22566,0.43166,0.111078
12,99.6858,3.84836,0.408364,0.133058
13,98.1178,3.20836,0.364451,0.129073
14,99.1214,3.55322,0.390572,0.146735
15,98.2004,3.1716,0.364033,0.165153
16,100.435,4.01753,0.424822,0.129445
17,99.1912,3.47567,0.388825,0.139048
18,95.3579,2.15695,0.283527,-0.036176
19,94.0907,1.79073,0.249702,-0.0317603
20,93.3386,1.58385,0.229549,-0.0148501
21,94.8013,1.91705,0.263907,-0.0142798
22,93.9152,1.66597,0.239772,0.000639509
23,93.246,1.48511,0.221566,0.0189722
24,93.7453,1.57186,0.231714,0.0409308
25,93.5914,1.50989,0.22596,0.0652392
26,96.606,2.27491,0.302878,-0.020564
27,96.0813,2.08823,0.286609,0.00449817
28,95.6814,1.9449,0.27383,0.0306607
29,92.3581,1.15293,0.188465,-0.089827
30,90.8914,0.879383,0.154435,-0.094319
31,90.8247,0.848383,0.150925,-0.0749466
32,92.8488,1.17283,0.193337,-0.0951954
33,94.7761,1.56164,0.239324,-0.113088
34,96.1262,1.877,0.273966,-0.10745
35,95.7905,1.75491,0.262448,-0.0797953
36,98.0133,2.37271,0.325051,-0.11656
37,98.3268,2.43898,0.332691,-0.0839125
38,99.8522,2.9426,0.378674,-0.0830807
39,100.538,3.16864,0.399152,-0.052809
40,101.228,3.40922,0.420223,-0.0216904
41,102.241,3.80744,0.452435,0.00163611
42,102.062,3.68303,0.445315,0.041073
43,99.4707,2.60035,0.357549,-0.0344566
44,102.173,3.64279,0.446622,-0.114087
45,101.241,3.19744,0.413444,-0.0890061
46,101.984,3.46832,0.437565,-0.0568667
47,101.102,3.0517,0.405515,-0.0299265
48,102.148,3.44857,0.440656,-0.00638492
49,102.008,3.34051,0.434302,0.0356766
50,102.26,3.40365,0.441912,0.0777581
51,103.249,3.80945,0.476462,0.104887
52,105.679,5.02275,0.563363,0.0448
53,107.578,6.10447,0.629402,0.0274576
54,109.36,7.22861,0.688412,0.0188833
55,105.979,5.0379,0.57387,-0.124845
56,107.885,6.14458,0.641802,-0.143048
57,105.525,4.67485,0.556872,-0.194729
58,105.764,4.75538,0.565765,-0.147274
59,103.995,3.76048,0.496721,-0.159118
60,101.309,2.51898,0.388542,-0.256515
61,103.058,3.20558,0.45683,-0.26725
62,100.357,2.07001,0.34606,-0.370013
63,98.1227,1.35025,0.258669,-0.42667
64,95.7787,0.803794,0.177684,-0.48897
65,97.9531,1.2237,0.245176,-0.524192
66,96.8905,0.945213,0.204547,-0.508562
67,98.02,1.15567,0.239644,-0.489917
68,97.8718,1.07861,0.230091,-0.450659
69,99.3536,1.41241,0.282607,-0.445714
70,99.866,1.51188,0.299678,-0.403073
71,98.3134,1.05106,0.233111,-0.41043
72,98.2189,0.984978,0.22477,-0.368592
73,95.1316,0.426105,0.119454,-0.505807
74,95.7126,0.468579,0.130452,-0.480013
75,96.0851,0.485963,0.136064,-0.450055
76,96.7681,0.549343,0.151864,-0.421813
77,97.1917,0.577627,0.160221,-0.387229
78,101.513,1.58413,0.341701,-0.702837
79,101.953,1.67337,0.360049,-0.645082
80,97.0145,0.437204,0.135265,-1.19074
81,99.7762,0.898616,0.239013,-1.27998
82,96.6233,0.318872,0.109185,-1.45625
83,98.1906,0.485798,0.155553,-1.45323
84,98.6728,0.516991,0.166789,-1.41103
85,98.6907,0.471525,0.158844,-1.36432
86,99.3169,0.525447,0.177037,-1.32043
87,97.7069,0.25667,0.103068,-1.33852
88,99.8304,0.504211,0.181127,-1.36831
89,99.244,0.353728,0.141662,-1.32594
90,100.659,0.53378,0.201913,-1.30705
91,100.132,0.372209,0.158655,-1.25403
92,100.343,0.341185,0.154697,-1.19111
93,100.954,0.370673,0.173376,-1.12773
94,100.102,0.185307,0.105615,-1.09201
95,99.1574,0.0677499,0.048951,-1.07533
96,100.505,0.107443,0.0788482,-1.04964
97,99.4922,0.0205891,0.0214397,-1.04354
98,99.8204,0.00699825,0.00973127,-1.02322
99,101.897,0.014445,0.024864,-1.01066
100,98.1231,0,0,-1.0904
