Date,Option Expiration date,Option Type,Security Spot Price,Option Mkt Price,Delta,Implied Volatility,Cum Hedging Error,PNL
7/5/2011,9/17/2011,C,532.44,44.2,0.722654,0.259686,0,0
7/6/2011,9/17/2011,C,535.36,46.9,0.733318,0.269337,-0.592419,2.7
7/7/2011,9/17/2011,C,546.6,55.3,0.787576,0.269861,-0.752537,11.1
7/8/2011,9/17/2011,C,531.99,43.95,0.719396,0.268563,-0.912002,-0.25
7/9/2011,9/17/2011,C,531.99,43.95,0.719396,0.268563,-0.912002,-0.25
7/10/2011,9/17/2011,C,531.99,43.95,0.719396,0.268563,-0.912002,-0.25
7/11/2011,9/17/2011,C,527.28,41,0.69151,0.27595,-1.35265,-3.2
7/12/2011,9/17/2011,C,534.01,46.4,0.722767,0.286787,-2.10098,2.2
7/13/2011,9/17/2011,C,538.26,49.3,0.745056,0.287137,-1.93166,5.1
7/14/2011,9/17/2011,C,528.94,41.15,0.706903,0.272178,-0.72783,-3.05
7/15/2011,9/17/2011,C,597.62,99.65,0.940745,0.28149,-10.6797,55.45
7/16/2011,9/17/2011,C,597.62,99.65,0.940745,0.28149,-10.6797,55.45
7/17/2011,9/17/2011,C,597.62,99.65,0.940745,0.28149,-10.6797,55.45
7/18/2011,9/17/2011,C,594.94,97.65,0.926444,0.300413,-11.2037,53.45
7/19/2011,9/17/2011,C,602.55,103.8,0.96029,0.266227,-10.3062,59.6
7/20/2011,9/17/2011,C,595.35,97.8,0.931925,0.299707,-11.2236,53.6
7/21/2011,9/17/2011,C,606.99,108.15,0.964258,0.275665,-10.7295,63.95
7/22/2011,9/17/2011,C,618.23,118.7,0.985999,0.24842,-10.4451,74.5
7/23/2011,9/17/2011,C,618.23,118.7,0.985999,0.24842,-10.4451,74.5
7/24/2011,9/17/2011,C,618.23,118.7,0.985999,0.24842,-10.4451,74.5
7/25/2011,9/17/2011,C,618.98,119.95,0.971589,0.294242,-10.9596,75.75
7/26/2011,9/17/2011,C,622.52,123.25,0.978582,0.286969,-10.8241,79.05
7/27/2011,9/17/2011,C,607.22,108.65,0.957691,0.304804,-11.2006,64.45
7/28/2011,9/17/2011,C,610.94,112.1,0.964978,0.302651,-11.092,67.9
7/29/2011,9/17/2011,C,603.69,106.8,0.924709,0.370045,-12.7921,62.6
